deparment,code,discription,rate
DEPARTMENT OF ANAESTHESIOLOG,=============================
DEPARTMENT OF ANAESTHESIOLOG,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF ANAESTHESIOLOG,1067    ,MINITRACHEOSTOMY                                    ,300              
DEPARTMENT OF ANAESTHESIOLOG,1068    ,PERCUTANEOUS TRACHEOSTOMY (DISPOSABLES EXTRA)      ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1069    ,DISPOSABLE VENTILLATORY TUBINGS                    ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1070    ,PCA PUMPS                                           ,300              
DEPARTMENT OF ANAESTHESIOLOG,1071    ,OBSERVATION IN RICU                                 ,300              
DEPARTMENT OF ANAESTHESIOLOG,1072    ,PAIN CLINIC: TENS PER HOUR                          ,100              
DEPARTMENT OF ANAESTHESIOLOG,1073    ,NERVE BLOCKS                                        ,100              
DEPARTMENT OF ANAESTHESIOLOG,1074    ,SPINAL STEROIDS                                     ,700              
DEPARTMENT OF ANAESTHESIOLOG,1075    ,INVESTIGATIVE PROCEDURES UNDER GA                  ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1076    ,BRONCHOGRAMS/BRONCHOSCOPY                          ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1077    ,MYELOGRAM                                           ,500              
DEPARTMENT OF ANAESTHESIOLOG,1078    ,M.R.I. ANAESTHESIA CHARGES                         ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1079    ,VENTILATOR CHARGES PER DAY (SIMPLE VENTILATOR       ,600              
DEPARTMENT OF ANAESTHESIOLOG,1080    ,VENTILATOR CHARGES PER DAY (SOPHISTICATED VEN      ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1081    ,CT SCAN ANAESTHESIA CHARGES                         ,750              
DEPARTMENT OF ANAESTHESIOLOG,1082    ,C.CATH(SCLEROTHERAPY) AND STAND BY CATH       ,      700              
DEPARTMENT OF ANAESTHESIOLOG,1083    ,CENTRAL VENOUS CATHETERIZATION                      ,500              
DEPARTMENT OF ANAESTHESIOLOG,1084    ,RESUSCITATION                                       ,500              
DEPARTMENT OF ANAESTHESIOLOG,1085    ,ARTERIAL BLOOD GAS (ABG)                             125   ,           
DEPARTMENT OF ANAESTHESIOLOG,1086    ,SERUM ELECTROLYTES                                  ,100              
DEPARTMENT OF ANAESTHESIOLOG,1087    ,ANAESTHESIA CONSULTATION                            ,150              
DEPARTMENT OF ANAESTHESIOLOG,1088    ,ANAESTHESIA FOR OP CASES (15 MINUTES)               ,400              
DEPARTMENT OF ANAESTHESIOLOG,1089    ,SPINAL ANAESTHESIA                                 ,1000              
DEPARTMENT OF ANAESTHESIOLOG,1090    ,ANAESTHESIA FOR MINOR CASES (30 MINUTES)            ,900              
DEPARTMENT OF ANAESTHESIOLOG,1091    ,REGIONAL ANAESTH.FOR MAJOR SURG.PROC.EPIDURAL      ,2000              
DEPARTMENT OF ANAESTHESIOLOG,1092    ,ANAESTHESIA FOR RADIATION ONCOLOGY (5 SITTING       ,750              
DEPARTMENT OF ANAESTHESIOLOG,1093    ,ANAESTHESIA FOR RADIATION ONCOLOGY (10 SITTIN      ,1500              
DEPARTMENT OF ANAESTHESIOLOG,1094    ,ANAESTH. FOR MAJOR SURG. WITH ENDOTRACHIAL TU      ,2750              
